[03Aug2024 00:14:55.049] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[03Aug2024 00:14:55.053] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 21.0.3 by Microsoft; OS Linux arch amd64 version 6.5.0-1022-azure
[03Aug2024 00:14:56.292] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[03Aug2024 00:14:56.339] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/Minecraft-da-Pixa/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[03Aug2024 00:14:56.804] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Minecraft-da-Pixa/servidor_minecraft/libraries/net/minecraftforge/fmlcore/1.20.1-47.3.0/fmlcore-1.20.1-47.3.0.jar is missing mods.toml file
[03Aug2024 00:14:56.805] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Minecraft-da-Pixa/servidor_minecraft/libraries/net/minecraftforge/javafmllanguage/1.20.1-47.3.0/javafmllanguage-1.20.1-47.3.0.jar is missing mods.toml file
[03Aug2024 00:14:56.806] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Minecraft-da-Pixa/servidor_minecraft/libraries/net/minecraftforge/lowcodelanguage/1.20.1-47.3.0/lowcodelanguage-1.20.1-47.3.0.jar is missing mods.toml file
[03Aug2024 00:14:56.808] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Minecraft-da-Pixa/servidor_minecraft/libraries/net/minecraftforge/mclanguage/1.20.1-47.3.0/mclanguage-1.20.1-47.3.0.jar is missing mods.toml file
[03Aug2024 00:14:57.187] [main/WARN] [net.minecraftforge.jarjar.selection.JarSelector/]: Attempted to select two dependency jars from JarJar which have the same identification: Mod File:  and Mod File: . Using Mod File: 
[03Aug2024 00:14:57.191] [main/WARN] [net.minecraftforge.jarjar.selection.JarSelector/]: Attempted to select a dependency jar for JarJar which was passed in as source: curios. Using Mod File: /workspaces/Minecraft-da-Pixa/servidor_minecraft/mods/curios-forge-5.9.1+1.20.1.jar
[03Aug2024 00:14:57.191] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: Found 17 dependencies adding them to mods collection
[03Aug2024 00:15:01.347] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[03Aug2024 00:15:01.524] [main/ERROR] [mixin/]: Mixin config arclight.mixins.json does not specify "minVersion" property
[03Aug2024 00:15:01.596] [main/ERROR] [mixin/]: Mixin config azurelib.mixins.json does not specify "minVersion" property
[03Aug2024 00:15:01.598] [main/ERROR] [mixin/]: Mixin config azurelib.forge.mixins.json does not specify "minVersion" property
[03Aug2024 00:15:01.658] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments []
[03Aug2024 00:15:01.816] [main/WARN] [mixin/]: Reference map 'mixins.ice_and_fire_delight.refmap.json' for mixins.ice_and_fire_delight.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.824] [main/WARN] [mixin/]: Reference map 'handcrafted-forge-1.20.1-forge-refmap.json' for handcrafted.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.829] [main/WARN] [mixin/]: Reference map 'CerbonsAPI-Forge-1.20.1-forge-refmap.json' for cerbons_api.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.832] [main/WARN] [mixin/]: Reference map 'yungsextras.refmap.json' for yungsextras.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.833] [main/WARN] [mixin/]: Reference map 'yungsextras.refmap.json' for yungsextras_forge.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.862] [main/WARN] [mixin/]: Reference map 'nitrogen_internals.refmap.json' for nitrogen_internals.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.865] [main/WARN] [mixin/]: Reference map 'arclight.mixins.refmap.json' for arclight.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.866] [main/WARN] [mixin/]: Reference map 'LesRaisinsAddon_1201.refmap.json' for lradd.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.875] [main/WARN] [mixin/]: Reference map 'octolib.refmap.json' for octolib.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.882] [main/WARN] [mixin/]: Reference map 'EpheroLib-refmap.json' for epherolib.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.884] [main/WARN] [mixin/]: Reference map 'mixins.call_of_yucutan.refmap.json' for mixins.call_of_yucutan.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.891] [main/WARN] [mixin/]: Reference map 'simplyswords-forge-refmap.json' for simplyswords.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.906] [main/WARN] [mixin/]: Reference map 'mvs-forge-refmap.json' for mvs-forge.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.937] [main/INFO] [Puzzles Lib/]: Loading 153 mods:
	- ae2 15.2.11
	- aether 1.20.1-1.4.2-neoforge
		|-- cumulus_menus 1.20.1-1.0.0-neoforge
		|-- mixinextras 0.2.0-beta.9
		\-- nitrogen_internals 1.20.1-1.0.7-neoforge
	- aether_villages 1.0.4
	- aetherdelight 1.0.0
	- alexscaves 1.1.4
	- alexsmobs 1.22.8
	- aquaculture 2.5.2
	- aquaculturedelight 1.0.0
	- aquamirae 6.API15
	- architectury 9.2.14
	- armoroftheages 1.2.1
	- astemirlib 1.25
	- azurelib 2.0.31
	- betterarcheology 1.1.9-1.20.1
	- betterdeserttemples 1.20-Forge-3.0.3
	- betterdungeons 1.20-Forge-4.0.4
	- betterendisland 1.20-Forge-2.0.6
	- betterfortresses 1.20-Forge-2.0.6
	- betterjungletemples 1.20-Forge-2.0.5
	- bettermineshafts 1.20-Forge-4.0.4
	- betteroceanmonuments 1.20-Forge-3.0.4
	- betterstrongholds 1.20-Forge-4.0.3
	- betterwitchhuts 1.20-Forge-3.0.3
	- blue_skies 1.3.31
	- bonfires 1.2.18
	- born_in_chaos_v1 1.0.0
	- bosses_of_mass_destruction 1.1.2
	- caelus 3.2.0+1.20.1
	- call_of_yucutan 1.0.11
	- cardinal_sins 1.0.0
	- cataclysm 1.99.5
	- cerbons_api 1.1.0
	- cfm 7.0.0-pre36
	- citadel 2.5.6
	- cloth_config 11.1.118
	- clumps 12.0.0.4
	- commonnetworking 1.0.5-1.20.1
	- controlling 12.0.2
	- cosmeticarmorreworked 1.20.1-v1a
	- croptopia 3.0.4
	- cupboard 1.20.1-2.7
	- curios 5.9.1+1.20.1
	- deeperdarker 1.2.1
	- devices 0.8.2
	- dragonitegear 0.2.0
	- dreadsteel 1.20.1-1.1.6.3
	- dupetrigger 1.12.16
	- easy_mob_farm 7.1.0
	- easy_piglins 1.20.1-1.0.9
	- easy_villagers 1.20.1-1.1.15
	- endersdelight 1.0.3
	- epherolib 0.1.2
	- epic_simply_swords 19
	- epicfight 20.7.4
	- epicpaladins 0.1.1-1.20.1-forge
	- epicsamurai 0.0.46-1.20.1-neo
	- everlastingskins 1.0
	- fabledweaponry 1.20.1-1.0.7.5
	- faded_conquest_2 1.2.0
	- farmersdelight 1.20.1-1.2.4
	- fastleafdecay 32
	- forge 47.3.0
	- ftbessentials 2001.2.2
	- ftblibrary 2001.2.4
	- ftbquests 2001.4.8
	- ftbranks 2001.1.3
	- ftbteams 2001.3.0
	- ftbultimine 2001.1.5
	- ftbxmodcompat 2.1.1
	- geckolib 4.4.7
	- hammerlib 20.1.32
	- handcrafted 3.0.6
	- icarus 2.9.2
	- ice_and_fire_delight 0.1.7
	- iceandfire 2.1.13-1.20.1-beta-4
	- improvableskills 20.1.9
	- incendium 5.3.5
	- ironchest 1.20.1-14.4.4
	- ironfurnaces 4.1.6
	- jade 11.9.4+forge
	- jadeaddons 5.2.2
	- jei 15.8.2.25
	- jeresources 1.4.0.247
	- journeymap 5.10.1
	- justenoughbreeding 1.3.0
	- justenoughprofessions 3.0.1
	- justleveling 1.7
	- knavesneeds 2.0+1.20.1
	- l_g_c 0.7
	- lionfishapi 1.9
	- lootintegrationaddonyung 1.18-1.20.1-1.1
	- lootintegrations 1.20.1-3.7
	- lootr 0.7.34.85
	- lost_aether_content 1.2.3
	- lradd 0.2.2
	- magistuarmory 9.8
	- medieval_buildings 1.0.2
	- medievalend 1.0.1
	- minecraft 1.20.1
	- mousetweaks 2.25.1
	- mowziesmobs 1.6.4
	- mr_dungeons_andtaverns 3.0.3.f
	- mr_panda_temple 1-V1
	- mr_qraftyfied 6
	- mr_tidal_towns 1.3
	- mutantmonsters 8.0.7
	- mvs 4.1.2-1.20-forge
	- naturescompass 1.20.1-1.11.2-forge
	- nethersdelight 1.20.1-4.0
	- nullscape 1.2.7
	- obscure_api 15
	- obscure_tooltips 2.2
	- oceansdelight 1.0.2-1.20
	- octolib 0.3
	- patchouli 1.20.1-84-FORGE
	- plushies 1.4.0
	- polymorph 0.49.5+1.20.1
		\-- spectrelib 0.13.15+1.20.1
	- projecte 1.0.1
	- puzzleslib 8.1.21
		\-- puzzlesaccessapi 8.0.7
	- relics 0.8.0.3
	- resourcefulconfig 2.1.2
	- resourcefullib 2.1.28
	- rogcontinued 1.2.2
	- rpgsmw 8.51.20.1
	- rpgstats 1.0.3
	- searchables 1.0.3
	- sereneseasons 9.0.0.46
	- shadowizardlib 1.20.1-1.1.5
	- simplyswords 1.55.0-1.20.1
	- skyvillages 1.0.4
	- slashblade 0.7.3
	- slashblade_addon 1.0.1
	- sophisticatedbackpacks 3.20.5.1044
	- sophisticatedcore 0.6.22.611
	- soulslikeuniverse 1.20.1.9
	- structure_gel 2.16.2
	- structureessentials 1.20.1-3.4
	- tacz 1.0.2
	- toolleveling 1.20.1-2.0.0
	- twilightdelight 2.0.12
		\-- l2library 2.4.16
	- twilightforest 4.3.2508
	- underground_bunkers 1.0.4
	- wi_zoom 1.5-MC1.20.1-Forge
	- wom 20.1.7.40
	- yungsapi 1.20-Forge-4.0.5
	- yungsbridges 1.20-Forge-4.0.3
	- yungsextras 1.20-Forge-4.0.3
[03Aug2024 00:15:01.945] [main/WARN] [mixin/]: Reference map 'knavesneeds-forge-forge-refmap.json' for knavesneeds.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:01.946] [main/WARN] [mixin/]: Reference map 'Aquamirae.refmap.json' for aquamirae.mixins.json could not be read. If this is a development environment you can ignore this message
[03Aug2024 00:15:03.130] [main/WARN] [mixin/]: Error loading class: dev/latvian/mods/kubejs/recipe/RecipesEventJS (java.lang.ClassNotFoundException: dev.latvian.mods.kubejs.recipe.RecipesEventJS)
